,Unnamed: 0,Time,Open,High,Low,Last,Change,%Chg,Volume,Classification
0,0,12/31/2018,249.56,250.19,247.47,249.92,2.17,+0.88%,144299296.0,True
1,1,12/28/2018,249.58,251.4,246.45,247.75,-0.32,-0.13%,153100096.0,False
2,2,12/27/2018,242.57,248.29,238.96,248.07,1.89,+0.77%,186267296.0,True
3,3,12/26/2018,235.97,246.18,233.76,246.18,11.84,+5.05%,218485296.0,True
4,4,12/24/2018,239.04,240.835,234.27,234.34,-6.36,-2.64%,147311504.0,False
5,5,12/21/2018,246.74,249.71,239.98,240.7,-6.47,-2.62%,255345600.0,False
6,6,12/20/2018,249.86,251.62,244.65,247.17,-4.09,-1.63%,252053296.0,False
7,7,12/19/2018,255.17,259.4,249.35,251.26,-3.82,-1.50%,214992704.0,False
8,8,12/18/2018,257.2,257.95,253.28,255.08,-0.28,-0.11%,134515104.0,False
9,9,12/17/2018,259.4,260.65,253.525,255.36,-5.11,-1.96%,165492192.0,False
10,10,12/14/2018,262.96,264.03,259.85,260.47,-4.9,-1.85%,116961000.0,False
11,11,12/13/2018,266.52,267.49,264.12,265.37,-0.09,-0.03%,96662704.0,False
12,12,12/12/2018,267.47,269.0,265.37,265.46,1.33,+0.50%,97976704.0,True
13,13,12/11/2018,267.66,267.87,262.48,264.13,0.06,+0.02%,121504400.0,True
14,14,12/10/2018,263.37,265.16,258.62,264.07,0.5,+0.19%,151445792.0,True
15,15,12/07/2018,269.46,271.22,262.63,263.57,-6.27,-2.32%,161018896.0,False
16,16,12/06/2018,265.92,269.97,262.44,269.84,-0.41,-0.15%,204185408.0,False
17,17,12/04/2018,278.37,278.85,269.9,270.25,-9.05,-3.24%,177986000.0,False
18,18,12/03/2018,280.28,280.4,277.505,279.3,3.65,+1.32%,103017696.0,True
19,19,11/30/2018,273.81,276.28,273.45,275.65,1.67,+0.61%,98204096.0,True
20,20,11/29/2018,273.71,275.55,272.43,273.98,-0.6,-0.22%,82346400.0,False
21,21,11/28/2018,269.6,274.58,268.33,274.58,6.18,+2.30%,127629600.0,True
22,22,11/27/2018,266.34,268.4,265.66,268.4,0.9,+0.34%,75502400.0,True
23,23,11/26/2018,265.78,267.75,265.34,267.5,4.25,+1.61%,79981296.0,True
24,24,11/23/2018,263.18,264.82,263.07,263.25,-1.77,-0.67%,42807800.0,False
25,25,11/21/2018,265.86,267.15,265.01,265.02,0.9,+0.34%,75563696.0,True
26,26,11/20/2018,265.36,267.0,263.15,264.12,-4.98,-1.85%,136021296.0,False
27,27,11/19/2018,273.05,273.38,268.07,269.1,-4.63,-1.69%,103061696.0,False
28,28,11/16/2018,271.79,274.75,271.21,273.73,0.71,+0.26%,126668000.0,True
29,29,11/15/2018,268.78,273.54,267.01,273.02,2.82,+1.04%,135101408.0,True
30,30,11/14/2018,274.16,274.61,268.45,270.2,-1.86,-0.68%,125335904.0,False
31,31,11/13/2018,273.09,275.325,271.25,272.06,-0.51,-0.19%,98176600.0,False
32,32,11/12/2018,277.19,277.46,271.99,272.57,-5.19,-1.87%,99673504.0,False
33,33,11/09/2018,279.03,279.24,276.18,277.76,-2.74,-0.98%,98812496.0,False
34,34,11/08/2018,280.11,281.22,279.22,280.5,-0.51,-0.18%,65584800.0,False
35,35,11/07/2018,277.56,281.1,277.08,281.01,5.89,+2.14%,102752096.0,True
36,36,11/06/2018,273.32,275.3,273.25,275.12,1.73,+0.63%,60085800.0,True
