,Time,Open,High,Low,Last,Change,%Chg,Volume,Classification
0,12/31/2019,320.53,322.13,320.15,321.86,0.78,+0.24%,57107000.0,True
1,12/30/2019,322.95,323.1,320.55,321.08,-1.78,-0.55%,49782700.0,False
2,12/27/2019,323.74,323.8,322.28,322.86,-0.08,-0.02%,42554800.0,False
3,12/26/2019,321.65,322.95,321.64,322.94,1.71,+0.53%,31024100.0,True
4,12/24/2019,321.47,321.52,320.9,321.23,0.01,0.00%,20270000.0,True
5,12/23/2019,321.59,321.65,321.06,321.22,0.49,+0.15%,53015600.0,True
6,12/20/2019,320.46,321.9742,319.3873,320.73,-0.17,-0.05%,149338208.0,False
7,12/19/2019,319.8,320.98,319.5246,320.9,1.31,+0.41%,85388400.0,True
8,12/18/2019,320.0,320.25,319.53,319.59,0.02,+0.01%,48199900.0,True
9,12/17/2019,319.92,320.25,319.48,319.57,0.07,+0.02%,61131700.0,True
10,12/16/2019,319.22,320.15,317.2542,319.5,2.18,+0.69%,82836096.0,True
11,12/13/2019,316.87,318.67,316.02,317.32,0.19,+0.06%,81546400.0,True
12,12/12/2019,314.43,317.99,314.17,317.13,2.71,+0.86%,96585800.0,True
13,12/11/2019,314.03,314.7,313.4393,314.42,0.89,+0.28%,53521400.0,True
14,12/10/2019,313.82,314.55,312.81,313.53,-0.35,-0.11%,53107100.0,False
15,12/09/2019,314.44,315.18,313.8,313.88,-0.99,-0.31%,34904300.0,False
16,12/06/2019,314.12,315.31,314.11,314.87,2.85,+0.91%,48956700.0,True
17,12/05/2019,312.23,312.25,310.58,312.02,0.56,+0.18%,40781600.0,True
18,12/04/2019,310.7,312.12,310.32,311.46,1.91,+0.62%,49190400.0,True
19,12/03/2019,308.77,309.64,307.13,309.55,-2.09,-0.67%,75172704.0,False
20,12/02/2019,314.59,314.66,311.17,311.64,-2.67,-0.85%,76110000.0,False
21,11/29/2019,314.86,315.13,314.06,314.31,-1.17,-0.37%,36592700.0,False
22,11/27/2019,314.61,315.48,314.37,315.48,1.4,+0.45%,44793100.0,True
23,11/26/2019,313.41,314.28,313.06,314.08,0.71,+0.23%,37727900.0,True
24,11/25/2019,311.98,313.37,311.98,313.37,2.41,+0.78%,48762600.0,True
25,11/22/2019,311.09,311.24,309.85,310.96,0.69,+0.22%,44850200.0,True
26,11/21/2019,310.89,311.01,309.39,310.27,-0.5,-0.16%,54664600.0,False
27,11/20/2019,311.28,311.85,309.06,310.77,-1.16,-0.37%,79696200.0,False
28,11/19/2019,312.68,312.69,311.22,311.93,-0.09,-0.03%,67927800.0,False
29,11/18/2019,311.53,312.28,311.03,312.02,0.23,+0.07%,49327900.0,True
30,11/15/2019,311.02,311.84,310.26,311.79,2.24,+0.72%,62706100.0,True
31,11/14/2019,308.79,309.64,308.09,309.55,0.45,+0.15%,52001800.0,True
32,11/13/2019,307.91,309.54,307.66,309.1,0.1,+0.03%,54385500.0,True
33,11/12/2019,308.75,309.99,308.15,309.0,0.65,+0.21%,46444000.0,True
34,11/11/2019,307.42,308.54,307.27,308.35,-0.59,-0.19%,35934900.0,False
35,11/08/2019,307.8,309.0036,307.03,308.94,0.76,+0.25%,49068800.0,True
36,11/07/2019,308.57,309.65,307.66,308.18,1.08,+0.35%,54272200.0,True
37,11/06/2019,307.03,307.4,306.06,307.1,0.07,+0.02%,46487100.0,True
38,11/05/2019,307.59,307.9195,306.71,307.03,-0.34,-0.11%,42933200.0,False
39,11/04/2019,307.85,308.0,306.96,307.37,1.23,+0.40%,60606900.0,True
40,11/01/2019,304.92,306.19,304.74,306.14,2.81,+0.93%,71141504.0,True
41,10/31/2019,304.13,304.13,301.73,303.33,-0.81,-0.27%,69053696.0,False
42,10/30/2019,303.43,304.55,301.99,304.14,0.93,+0.31%,49643900.0,True
43,10/29/2019,303.0,304.23,302.86,303.21,-0.09,-0.03%,44284900.0,False
44,10/28/2019,302.94,303.85,302.91,303.3,1.7,+0.56%,42146900.0,True
45,10/25/2019,299.74,302.2,299.6806,301.6,1.23,+0.41%,45205400.0,True
46,10/24/2019,300.91,301.07,299.4601,300.37,0.49,+0.16%,35857400.0,True
47,10/23/2019,298.73,299.94,298.495,299.88,0.87,+0.29%,34991800.0,True
48,10/22/2019,300.58,300.9,298.91,299.01,-0.98,-0.33%,49126000.0,False
49,10/21/2019,299.42,300.21,298.935,299.99,2.02,+0.68%,39460900.0,True
50,10/18/2019,298.69,299.395,296.99,297.97,-1.31,-0.44%,64338000.0,False
51,10/17/2019,299.68,300.24,298.515,299.28,0.88,+0.29%,46784800.0,True
52,10/16/2019,298.37,299.16,297.92,298.4,-0.48,-0.16%,50563500.0,False
53,10/15/2019,297.1,299.7,296.97,298.88,2.93,+0.99%,47832300.0,True
54,10/14/2019,295.93,296.67,295.57,295.95,-0.33,-0.11%,40546600.0,False
55,10/11/2019,296.27,298.74,296.1448,296.28,3.04,+1.04%,101228496.0,True
56,10/10/2019,291.18,294.21,291.0,293.24,1.97,+0.68%,57255900.0,True
57,10/09/2019,291.2,292.3,288.66,291.27,2.74,+0.95%,65701000.0,True
58,10/08/2019,291.11,291.85,288.49,288.53,-4.55,-1.55%,101575400.0,False
59,10/07/2019,293.47,295.26,292.77,293.08,-1.27,-0.43%,60656500.0,False
60,10/04/2019,291.14,294.63,290.82,294.35,3.93,+1.35%,66700600.0,True
61,10/03/2019,287.81,290.45,284.82,290.42,2.36,+0.82%,85906800.0,True
62,10/02/2019,291.5,291.51,286.64,288.06,-5.18,-1.77%,124523904.0,False
63,10/01/2019,297.74,298.455,293.0,293.24,-3.53,-1.19%,89900400.0,False
64,09/30/2019,295.97,297.55,295.92,296.77,1.37,+0.46%,52562700.0,True
65,09/27/2019,297.83,297.9465,293.69,295.4,-1.6,-0.54%,84781104.0,False
66,09/26/2019,297.63,297.86,295.45,297.0,-0.62,-0.21%,58722300.0,False
67,09/25/2019,295.96,298.11,294.33,297.62,1.75,+0.59%,73434000.0,True
68,09/24/2019,299.41,299.84,294.81,295.87,-2.34,-0.78%,97367504.0,False
69,09/23/2019,297.55,299.0,297.27,298.21,-0.07,-0.02%,47541300.0,False
70,09/20/2019,300.36,300.67,297.41,298.28,-2.8,-0.93%,97455904.0,False
71,09/19/2019,301.53,302.63,300.7103,301.08,-0.02,-0.01%,78099200.0,False
72,09/18/2019,300.49,301.22,298.24,301.1,0.18,+0.06%,74192000.0,True
73,09/17/2019,299.94,301.02,299.75,300.92,0.76,+0.25%,42904400.0,True
74,09/16/2019,299.84,301.1378,299.45,300.16,-0.93,-0.31%,58191100.0,False
75,09/13/2019,301.78,302.17,300.68,301.09,-0.2,-0.07%,62104800.0,False
76,09/12/2019,301.25,302.46,300.41,301.29,1.04,+0.35%,72908704.0,True
77,09/11/2019,298.47,300.34,297.75,300.25,2.12,+0.71%,68821000.0,True
78,09/10/2019,297.36,298.2,295.97,298.13,-0.07,-0.02%,57947100.0,False
79,09/09/2019,299.14,299.24,297.16,298.2,0.15,+0.05%,51260200.0,True
80,09/06/2019,298.17,298.76,297.42,298.05,0.23,+0.08%,49584200.0,True
81,09/05/2019,296.79,298.83,294.001,297.82,3.78,+1.29%,83356704.0,True
82,09/04/2019,293.14,294.055,292.31,294.04,3.3,+1.14%,47003900.0,True
83,09/03/2019,290.57,291.58,289.27,290.74,-1.71,-0.58%,69231800.0,False
84,08/30/2019,294.22,294.2399,291.42,292.45,-0.13,-0.04%,62961700.0,False
85,08/29/2019,291.72,293.16,290.61,292.58,3.69,+1.28%,57998900.0,True
86,08/28/2019,286.14,289.07,285.25,288.89,2.02,+0.70%,59852300.0,True
87,08/27/2019,289.54,289.95,286.03,286.87,-1.13,-0.39%,68263000.0,False
88,08/26/2019,287.27,288.0,285.58,288.0,3.15,+1.11%,72620496.0,True
89,08/23/2019,290.92,292.76,283.47,284.85,-7.51,-2.57%,149318096.0,False
90,08/22/2019,293.23,293.93,290.4,292.36,-0.09,-0.03%,51739200.0,False
91,08/21/2019,292.48,292.86,291.72,292.45,2.36,+0.81%,49723400.0,True
92,08/20/2019,291.77,292.36,289.95,290.09,-2.24,-0.77%,51652700.0,False
93,08/19/2019,292.19,293.08,291.44,292.33,3.48,+1.20%,53640100.0,True
94,08/16/2019,286.48,289.33,284.7138,288.85,4.2,+1.48%,85825200.0,True
95,08/15/2019,284.88,285.64,282.39,284.65,0.75,+0.26%,101929800.0,True
96,08/14/2019,288.74,292.4644,283.76,283.9,-8.65,-2.96%,135622000.0,False
97,08/13/2019,287.74,294.15,287.36,292.55,4.48,+1.56%,94792896.0,True
98,08/12/2019,289.96,291.61,287.02,288.07,-3.55,-1.22%,65185700.0,False
99,08/09/2019,292.58,293.24,289.65,291.62,-2.0,-0.68%,93729904.0,False
100,08/08/2019,289.62,293.62,289.01,293.62,5.65,+1.96%,87713904.0,True
101,08/07/2019,284.4,288.82,282.04,287.97,0.17,+0.06%,140572192.0,True
102,08/06/2019,285.91,288.04,284.28,287.8,3.98,+1.40%,120711600.0,True
103,08/05/2019,288.09,288.21,281.72,283.82,-8.8,-3.01%,178745408.0,False
104,08/02/2019,293.85,294.12,290.9,292.62,-2.22,-0.75%,116749696.0,False
105,08/01/2019,297.6,300.87,293.96,294.84,-2.59,-0.87%,142646496.0,False
106,07/31/2019,300.99,301.2,295.2,297.43,-3.29,-1.09%,104245104.0,False
107,07/30/2019,299.91,301.17,299.49,300.72,-0.74,-0.25%,45849000.0,False
108,07/29/2019,301.88,301.93,300.85,301.46,-0.55,-0.18%,38126400.0,False
109,07/26/2019,300.76,302.23,300.62,302.01,2.01,+0.67%,45084000.0,True
110,07/25/2019,300.94,301.0,299.11,300.0,-1.44,-0.48%,55394000.0,False
111,07/24/2019,299.19,301.44,299.09,301.44,1.41,+0.47%,47213200.0,True
112,07/23/2019,299.14,300.03,298.22,300.03,2.13,+0.72%,44657900.0,True
113,07/22/2019,297.61,298.5,297.04,297.9,0.73,+0.25%,43687400.0,True
114,07/19/2019,300.04,300.07,296.96,297.17,-1.66,-0.56%,71081200.0,False
115,07/18/2019,297.19,299.25,296.7,298.83,1.09,+0.37%,51701600.0,True
116,07/17/2019,299.75,299.93,297.74,297.74,-1.97,-0.66%,44102400.0,False
117,07/16/2019,300.65,300.88,299.44,299.71,-1.04,-0.35%,40567900.0,False
