,STATION,NAME,DATE,AWND,PRCP,TAVG,TMAX,TMIN
0,USW00014732,"LAGUARDIA AIRPORT, NY US",01/01/2009,19.01,0.0,,27,16
1,USW00014732,"LAGUARDIA AIRPORT, NY US",01/02/2009,9.84,0.0,,36,24
2,USW00014732,"LAGUARDIA AIRPORT, NY US",01/03/2009,19.24,0.0,,39,30
3,USW00014732,"LAGUARDIA AIRPORT, NY US",01/04/2009,10.96,0.0,,43,26
4,USW00014732,"LAGUARDIA AIRPORT, NY US",01/05/2009,10.96,0.0,,44,39
5,USW00014732,"LAGUARDIA AIRPORT, NY US",01/06/2009,10.29,0.06,,39,31
6,USW00014732,"LAGUARDIA AIRPORT, NY US",01/07/2009,12.75,1.11,,40,32
7,USW00014732,"LAGUARDIA AIRPORT, NY US",01/08/2009,21.03,0.0,,39,30
8,USW00014732,"LAGUARDIA AIRPORT, NY US",01/09/2009,18.79,0.0,,33,27
9,USW00014732,"LAGUARDIA AIRPORT, NY US",01/10/2009,10.51,0.06,,30,24
10,USW00014732,"LAGUARDIA AIRPORT, NY US",01/11/2009,10.29,0.16,,32,26
11,USW00014732,"LAGUARDIA AIRPORT, NY US",01/12/2009,10.07,0.0,,34,23
12,USW00014732,"LAGUARDIA AIRPORT, NY US",01/13/2009,7.83,0.0,,41,29
13,USW00014732,"LAGUARDIA AIRPORT, NY US",01/14/2009,14.32,0.0,,37,18
14,USW00014732,"LAGUARDIA AIRPORT, NY US",01/15/2009,12.08,0.06,,23,17
15,USW00014732,"LAGUARDIA AIRPORT, NY US",01/16/2009,15.21,0.0,,18,11
16,USW00014732,"LAGUARDIA AIRPORT, NY US",01/17/2009,8.05,0.0,,22,8
17,USW00014732,"LAGUARDIA AIRPORT, NY US",01/18/2009,6.93,0.19,,33,22
18,USW00014732,"LAGUARDIA AIRPORT, NY US",01/19/2009,4.7,0.08,,33,26
19,USW00014732,"LAGUARDIA AIRPORT, NY US",01/20/2009,12.3,0.0,,30,22
20,USW00014732,"LAGUARDIA AIRPORT, NY US",01/21/2009,13.87,0.0,,28,19
21,USW00014732,"LAGUARDIA AIRPORT, NY US",01/22/2009,12.75,0.0,,37,22
22,USW00014732,"LAGUARDIA AIRPORT, NY US",01/23/2009,7.83,0.0,,45,28
23,USW00014732,"LAGUARDIA AIRPORT, NY US",01/24/2009,18.79,0.0,,47,18
24,USW00014732,"LAGUARDIA AIRPORT, NY US",01/25/2009,10.51,0.0,,28,15
25,USW00014732,"LAGUARDIA AIRPORT, NY US",01/26/2009,8.05,0.0,,30,20
26,USW00014732,"LAGUARDIA AIRPORT, NY US",01/27/2009,8.05,0.0,,31,26
27,USW00014732,"LAGUARDIA AIRPORT, NY US",01/28/2009,13.65,0.91,,42,24
28,USW00014732,"LAGUARDIA AIRPORT, NY US",01/29/2009,14.32,0.0,,37,27
29,USW00014732,"LAGUARDIA AIRPORT, NY US",01/30/2009,10.96,0.0,,35,28
30,USW00014732,"LAGUARDIA AIRPORT, NY US",01/31/2009,16.11,0.0,,28,21
31,USW00014732,"LAGUARDIA AIRPORT, NY US",02/01/2009,10.29,0.0,,53,28
32,USW00014732,"LAGUARDIA AIRPORT, NY US",02/02/2009,7.38,0.0,,52,33
33,USW00014732,"LAGUARDIA AIRPORT, NY US",02/03/2009,12.3,0.25,,37,26
34,USW00014732,"LAGUARDIA AIRPORT, NY US",02/04/2009,13.2,0.0,,31,18
35,USW00014732,"LAGUARDIA AIRPORT, NY US",02/05/2009,16.55,0.0,,24,14
36,USW00014732,"LAGUARDIA AIRPORT, NY US",02/06/2009,7.61,0.0,,32,17
37,USW00014732,"LAGUARDIA AIRPORT, NY US",02/07/2009,6.26,0.0,,49,24
38,USW00014732,"LAGUARDIA AIRPORT, NY US",02/08/2009,16.11,0.0,,59,38
39,USW00014732,"LAGUARDIA AIRPORT, NY US",02/09/2009,9.17,0.0,,46,35
40,USW00014732,"LAGUARDIA AIRPORT, NY US",02/10/2009,5.59,0.0,,50,33
41,USW00014732,"LAGUARDIA AIRPORT, NY US",02/11/2009,6.49,0.01,,63,38
42,USW00014732,"LAGUARDIA AIRPORT, NY US",02/12/2009,25.28,0.07,,57,44
43,USW00014732,"LAGUARDIA AIRPORT, NY US",02/13/2009,20.8,0.0,,44,32
44,USW00014732,"LAGUARDIA AIRPORT, NY US",02/14/2009,12.08,0.0,,41,29
45,USW00014732,"LAGUARDIA AIRPORT, NY US",02/15/2009,13.2,0.0,,42,30
46,USW00014732,"LAGUARDIA AIRPORT, NY US",02/16/2009,10.07,0.0,,40,29
